fn,anon_exec,authed_exec,svc_exec,is_trigger,mutates,gated_heur,bucket
admin_get_pricing_config,1,1,1,0,0,1,D_RO_GATED
admin_get_signal_serving_pct,1,1,1,0,0,1,D_RO_GATED
admin_get_subscription_detail,0,1,1,0,0,1,NOT_ANON
admin_grant_override,1,1,1,0,1,1,B_MUT_GATED
admin_grant_override_audited,0,1,1,0,0,1,NOT_ANON
admin_job_applications_list,0,1,1,0,0,1,NOT_ANON
admin_launch_city_list,0,1,1,0,0,0,NOT_ANON
admin_list_brand_stripe_status,0,1,1,0,0,1,NOT_ANON
admin_list_disputes,0,1,1,0,0,1,NOT_ANON
admin_list_event_orders,0,1,1,0,0,1,NOT_ANON
admin_list_event_rsvps,0,1,1,0,0,1,NOT_ANON
admin_list_offerings,0,1,1,0,0,1,NOT_ANON
admin_list_orders,0,1,1,0,0,1,NOT_ANON
admin_list_payouts,0,1,1,0,0,1,NOT_ANON
admin_list_refunds,0,1,1,0,0,1,NOT_ANON
admin_list_revenue_log,0,1,1,0,0,1,NOT_ANON
admin_list_stale_places,1,1,1,0,0,1,D_RO_GATED
admin_list_subscriptions,1,1,1,0,0,1,D_RO_GATED
admin_list_venue_reservations,0,1,1,0,0,1,NOT_ANON
admin_offering_stats,0,1,1,0,0,1,NOT_ANON
admin_pin_place_to_top,0,1,1,0,1,1,NOT_ANON
admin_place_category_breakdown,1,1,1,0,0,1,D_RO_GATED
admin_place_city_overview,1,1,1,0,0,1,D_RO_GATED
admin_place_country_overview,1,1,1,0,0,1,D_RO_GATED
admin_place_deck_rank,0,1,1,0,0,1,NOT_ANON
admin_place_photo_stats,1,1,1,0,0,1,D_RO_GATED
admin_place_pool_city_list,1,1,1,0,0,1,D_RO_GATED
admin_place_pool_country_list,1,1,1,0,0,1,D_RO_GATED
admin_place_pool_overview,1,1,1,0,0,1,D_RO_GATED
admin_pool_category_health,1,1,1,0,0,1,D_RO_GATED
admin_reactivate_place,1,1,1,0,1,1,B_MUT_GATED
admin_reassign_brand_owner,0,1,1,0,1,1,NOT_ANON
admin_refresh_place_pool_mv,1,1,1,0,0,1,D_RO_GATED
admin_refund_order,0,0,1,0,1,1,NOT_ANON
admin_refund_order_commit,0,0,1,0,1,1,NOT_ANON
admin_remove_rsvp_guest,0,1,1,0,1,1,NOT_ANON
admin_remove_team_member,0,1,1,0,1,1,NOT_ANON
admin_reorder_experience_stop,0,1,1,0,1,1,NOT_ANON
admin_reorder_trip_day,0,1,1,0,1,1,NOT_ANON
admin_reset_inactive_sessions,1,1,1,0,1,1,B_MUT_GATED
admin_restore_listing,1,1,1,0,1,1,B_MUT_GATED
admin_revoke_brand_invitation,0,1,1,0,1,1,NOT_ANON
admin_revoke_override,1,1,1,0,1,1,B_MUT_GATED
admin_revoke_override_audited,0,1,1,0,0,1,NOT_ANON
admin_rule_detail,1,1,1,0,0,1,D_RO_GATED
admin_rule_set_diff,1,1,1,0,0,1,D_RO_GATED
admin_rule_set_versions,1,1,1,0,0,1,D_RO_GATED
admin_rules_export,1,1,1,0,0,1,D_RO_GATED
admin_rules_list,1,1,1,0,0,1,D_RO_GATED
admin_rules_overview,1,1,1,0,0,1,D_RO_GATED
admin_rules_preview_impact,1,1,1,0,0,1,D_RO_GATED
admin_rules_rollback,1,1,1,0,1,1,B_MUT_GATED
admin_rules_run_affected_places,1,1,1,0,0,1,D_RO_GATED
admin_rules_run_detail,1,1,1,0,0,1,D_RO_GATED
admin_rules_run_diff,1,1,1,0,0,1,D_RO_GATED
admin_rules_runs,1,1,1,0,0,1,D_RO_GATED
admin_rules_save,1,1,1,0,1,1,B_MUT_GATED
admin_score_place_preview,0,1,1,0,1,1,NOT_ANON
admin_seed_demo_profiles,1,1,1,0,1,1,B_MUT_GATED
admin_set_account_deleted,0,1,1,0,1,1,NOT_ANON
admin_set_brand_claim_status,0,1,1,0,1,1,NOT_ANON
admin_set_brand_deleted,0,1,1,0,1,1,NOT_ANON
admin_set_brand_take_rate_override,1,1,1,0,1,1,B_MUT_GATED
admin_set_job_application_status,0,1,1,0,1,1,NOT_ANON
admin_set_offering_bookings_closed,0,1,1,0,1,1,NOT_ANON
admin_set_offering_deleted,0,1,1,0,1,1,NOT_ANON
admin_set_offering_visibility,0,1,1,0,1,1,NOT_ANON
admin_set_place_signal_score,0,1,1,0,1,1,NOT_ANON
admin_set_platform_take_rate,1,1,1,0,1,1,B_MUT_GATED
admin_set_reservation_status,0,1,1,0,1,1,NOT_ANON
admin_set_rsvp_approval,0,1,1,0,1,1,NOT_ANON
admin_set_rsvp_capacity,0,1,1,0,1,1,NOT_ANON
admin_set_signal_serving_pct,1,1,1,0,1,1,B_MUT_GATED
admin_set_team_member_role,0,1,1,0,1,1,NOT_ANON
admin_set_ticket_price,0,1,1,0,1,1,NOT_ANON
admin_set_user_active,0,1,1,0,1,1,NOT_ANON
admin_set_user_beta,0,1,1,0,1,1,NOT_ANON
admin_soft_delete_listing,1,1,1,0,1,1,B_MUT_GATED
admin_subscription_stats,1,1,1,0,0,1,D_RO_GATED
admin_suspend_listing,1,1,1,0,1,1,B_MUT_GATED
admin_toggle_partner,1,1,1,0,1,1,B_MUT_GATED
admin_trigger_place_refresh,1,1,1,0,1,1,B_MUT_GATED
admin_tweak_venue_claim_fields,0,1,1,0,1,1,NOT_ANON
admin_uncategorized_places,1,1,1,0,0,1,D_RO_GATED
admin_update_account,0,1,1,0,1,1,NOT_ANON
admin_update_brand,0,1,1,0,1,1,NOT_ANON
admin_update_experience_stop,0,1,1,0,1,1,NOT_ANON
admin_update_trip_day,0,1,1,0,1,1,NOT_ANON
admin_update_venue_capacity_rule,0,1,1,0,1,1,NOT_ANON
admin_update_venue_reservation_settings,0,1,1,0,1,1,NOT_ANON
admin_virtual_tile_intelligence,1,1,1,0,0,1,D_RO_GATED
admin_write_audit,0,0,1,0,1,1,NOT_ANON
anonymize_user_audit_log,1,1,1,0,1,0,A_MUT_UNGATED
are_friends_or_fof,1,1,1,0,0,0,C_RO_UNGATED
auto_create_presence,1,1,1,1,1,0,TRIGGER
backfill_going_rsvp_qr_codes,0,1,1,0,0,1,NOT_ANON
biz_brand_effective_rank,1,1,1,0,0,0,C_RO_UNGATED
biz_brand_effective_rank_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_can_manage_orders_for_event,1,1,1,0,0,0,C_RO_UNGATED
biz_can_manage_orders_for_event_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_can_manage_payments_for_brand,1,1,1,0,0,1,D_RO_GATED
biz_can_manage_payments_for_brand_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_can_read_order,1,1,1,0,0,1,D_RO_GATED
biz_can_read_order_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_cancel_order,1,1,1,0,1,1,B_MUT_GATED
biz_cancel_trip_booking_begin,0,0,1,0,1,0,NOT_ANON
biz_cancel_trip_booking_commit,0,0,1,0,1,0,NOT_ANON
biz_cancel_trip_booking_rollback,0,0,1,0,1,0,NOT_ANON
biz_compute_refund_for_cancel,0,0,1,0,0,0,NOT_ANON
biz_create_brand_owner_team_member,1,1,1,1,1,0,TRIGGER
biz_create_experience,1,1,1,0,1,1,B_MUT_GATED
biz_create_venue_brand_authoring,1,1,1,0,0,0,C_RO_UNGATED
biz_create_venue_listing,0,1,1,0,1,1,NOT_ANON
biz_derive_service_periods_from_brand_hours,0,1,1,0,1,0,NOT_ANON
biz_event_auto_provision_scanners,1,1,1,1,1,0,TRIGGER
biz_event_brand_id,1,1,1,0,0,0,C_RO_UNGATED
biz_experience_sold_count,1,1,1,0,0,0,C_RO_UNGATED
biz_get_place_adoption_detail,0,0,1,0,0,0,NOT_ANON
biz_is_brand_admin_plus,1,1,1,0,0,0,C_RO_UNGATED
biz_is_brand_admin_plus_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_is_brand_member_for_read,1,1,1,0,0,0,C_RO_UNGATED
biz_is_brand_member_for_read_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_is_event_manager_plus,1,1,1,0,0,0,C_RO_UNGATED
biz_is_event_manager_plus_for_caller,1,1,1,0,0,1,D_RO_GATED
biz_manual_charge_installment,1,1,1,0,1,1,B_MUT_GATED
biz_mark_feedback_item_fixed,0,1,1,0,1,1,NOT_ANON
biz_order_brand_id,1,1,1,0,0,0,C_RO_UNGATED
biz_place_pool_name_contains,1,1,1,0,0,0,C_RO_UNGATED
biz_publish_experience,1,1,1,0,1,1,B_MUT_GATED
biz_refund_order,1,1,1,0,1,1,B_MUT_GATED
biz_refund_order_commit,1,1,1,0,1,1,B_MUT_GATED
biz_refund_order_commit_from_webhook,1,1,1,0,1,0,A_MUT_UNGATED
biz_reservation_create,0,1,1,0,1,1,NOT_ANON
biz_reservation_transition,0,1,1,0,1,1,NOT_ANON
biz_resolve_verified_user,1,1,1,0,0,0,C_RO_UNGATED
biz_resubmit_venue_claim,0,1,1,0,1,1,NOT_ANON
biz_retry_installment,1,1,1,0,1,1,B_MUT_GATED
biz_review_venue_claim,0,1,1,0,1,1,NOT_ANON
biz_rsvp_mint_qr,0,1,1,0,0,0,NOT_ANON
biz_search_place_pool_for_claim,0,0,1,0,0,0,NOT_ANON
biz_send_installment_reminder,1,1,1,0,1,1,B_MUT_GATED
biz_set_event_guest_privacy,0,1,1,0,1,1,NOT_ANON
biz_sms_record_global_opt_out,0,0,1,0,1,0,NOT_ANON
biz_ticket_checkout_create_session,1,1,1,0,1,0,A_MUT_UNGATED
biz_ticket_checkout_finalize,1,1,1,0,1,1,B_MUT_GATED
biz_ticket_scan,1,1,1,0,1,1,B_MUT_GATED
biz_tickets_enforce_update,1,1,1,1,0,1,TRIGGER
biz_trip_has_web_purchases,1,1,1,0,0,0,C_RO_UNGATED
biz_trip_sold_count_by_tier,1,1,1,0,0,0,C_RO_UNGATED
biz_trip_tickets_sold,1,1,1,0,0,1,D_RO_GATED
biz_trip_tickets_sold_by_tier,1,1,1,0,0,0,C_RO_UNGATED
biz_update_live_experience,1,1,1,0,1,1,B_MUT_GATED
